plate,customer_meaning,reviewer_comments,is_approved,state,plate_type
91ROLIN,"NOTHING REALLY, ITS WHAT I ENDED UP WITH.",ROLLIN COULD BE A DRUG TERM MEANING TO BE ROLLIN ON DRUGS,N,CA,Personalized
MY POOPR,NICKNAME FOR MY CAR,POOPER-SHIT,N,CA,Personalized
NOONR62,LAST NAME IS NUNES AND YEAR OF BIRTH IS 1962,NOONER=SEX,N,CA,Personalized
5 HIGH,BMW 5 SERIES,COULD BE DRUG REFERENCE,N,CA,Personalized
CARTL63,1963 IMPALA BUILT FROM MY BUSINESS CARTEL  CUSTOMS. WWW.CARTELCUSTOMS.COM,"SIMILAR TO CARTEL, DRUG REFERENCE",N,CA,Personalized
FS69,,"69, SEXUAL REFERENCE",N,CA,Personalized
PAJ1313,NICKNAME,13 = GANG NUMBER,N,CA,Personalized
LK13ESQ,"NAME INITIALS, FAVORIATE NUMBER AND ABBREVIATION FOR A PERSON WHO PRACTICES LAW.",13 GANG REFERENCE,N,CA,Personalized
FN PRFKT,,FUCKING PERFECT,N,CA,Personalized
FUKHLRY,MY NICK NAME SINCE I WAS A KID,FUCK HILLARY,N,CA,Personalized
MTN SCAT,MOUNTAIN SCAT PACK,SCAT SHIT,N,CA,Personalized
CHERI BB,MY GIRLFRIEND'S NICK NAME,CHERRY SLANG FOR VAGINA BB LOOKS LIKE 88,N,CA,Personalized
BITE ME2,DENTISTRY CHECKING BITE,BITE ME (BITEME IS RELEASED),N,CA,Personalized
DIE4HIM,IT MEANS TO NOT LIVE IN THE FLESH AND SIN. TO DIE TO SIN AND ALL THINGS THAT ENABLE SIN INTO OUR LIVES WHICH LEADS TO SUFFERING,die,N,CA,Personalized
SMKTST 2,,SMOKE TEST,N,CA,Personalized
HOTTNT,HOT TAMMY AND TOMMY,"TNT, WEAPON REFERENCE",N,CA,Personalized
LOCOLOC,MOTOLOCO LOCAL,LOC = GANG REFERENCE,N,CA,Personalized
MFN TACO,MY FIRST NEW TACOMA,TACO,N,CA,Personalized
UF ENG,school,YOU F'ING,N,CA,Personalized
STEAMBX,STEAM BOX,HAS A 2016 TOYOTA P/U. PULLED FOR BOX,N,CA,Personalized
SIG X,SIGMA CHI,SIG SAUER X-SERIES,N,CA,Personalized
FIREFN,FOR SPORTS TEAM,FN COULD STAND FOR FUCKING,N,CA,Personalized
IG 88,FAVORITE STAR WARS DROID,88 HITLER REFERENCE,N,CA,Personalized
MK4VW18,MARK 4 VW 1.8T,"18=hate symbol, HAS VW",N,CA,Personalized
DWA 94,DRIVING WHILE ASIAN SINCE 1994,"DRIVING WHILE ASIAN, OFFENSIVE?",N,CA,Personalized
GO NRA,GO NATIONAL RIFLE ASSOICATION,"NRA-NATIONAL RIFLE ASSOCIATION. ""NRA"" IS CURRENT",Y,CA,Personalized
HY 5 N,CELEBRATE,MOST LIKELY HI FIVING BUT HIGH COULD BE A REFERENCE TO GETTING HIGH ON DRUGS,Y,CA,Personalized
ROCET88,ROCKET 88 OLDSMOBILE,88-HITLER. CUSTOMER HAS AN OLDSMOBILE,Y,CA,Personalized
RLTLRED,OUR LITTLE RED (ON A LITTLE RED CAR),RED=GANG COLOR,Y,CA,Personalized
BULLIT 9,,BULLET,Y,CA,Personalized
4763,BIRTHDAYS,ALL DIGITS,Y,CA,Personalized
REDROCT,FOR MY RED CAR I CALL THE ROCKET,"RED, GANG REFERENCE",Y,CA,Personalized
FAT ROC,FORGET ABOUT REST OF COMPETITION,"COULD BE DRUG REFERENCE (CONVERSION, NO COMPLAINTS)",Y,CA,Personalized
HNTRREP,HUNTER REPAIR,HUNTER,Y,CA,Personalized
4FNCPTS,FOR FANCY PANTS,FN-FUN OR FUCKEN,Y,CA,Personalized
SHINHYE,MY FIRST NAME,SHY N HIGH? BUT IT IS HER NAME,Y,CA,Personalized
PGPEN,,"PIG, POLICE REFERENCE",Y,CA,Personalized
14 ROCKY,2014 4 RUNNER NICKNAMED ROCKY BY MY KIDS,14-HITLER,Y,CA,Personalized
DM PORS,MY NAMES,LOOKS LIKE DAMN PORSCHE. CUSTOMER IS DAVE MORGAN AND HE HAS A PORSCHE,Y,CA,Personalized
BGBLU69,IT IS GOING ON A 1969 BLUE CHEVY 4X4 TRUCK.,BLUE,Y,CA,Personalized
67 BUM,1967 BUM,PULLED FOR BUM (Has a 67 trailer),Y,CA,Personalized
RED 1B,,RED=GANG COLOR,Y,CA,Personalized
SXY RED,SEXY RED,RED,Y,CA,Personalized
CRUMSBB,LAST NAME AND BUMBLE BEE,"BB CAN STAND FOR BAREBACK, SEXUAL REFERENCE",Y,CA,Personalized
PROLIF 2,NO QUICKWEB,SAME CUSTOMER AS ABOVE,Y,CA,Personalized
88EAF88,,88HITLER REFERENCE,Y,CA,Personalized
ARMY13B,NO MICRO,13-GANG NUMBER,Y,CA,Personalized
TWO2RED,I RIDE A RED DIRT BIKE AND THE VAN WILL BE RED ALSO,RED = GANG COLOR,Y,CA,Personalized
TACOKEV,KEVINS TACOMA,"TACO, SEXUAL REFERENCE",Y,CA,Personalized
BLZ EYE,BULLS EYE,BULLS EYE LIKE TARGET PRATICE LIKE TO SHOOT?,Y,CA,Personalized
FQC ,,,N,NY,Personalized
POL0CK,,,N,NY,Personalized
RACE1SM,,,N,NY,Personalized
LAPUTA,,,N,NY,Personalized
266JCC,,,N,NY,Personalized
KIK,,,N,NY,Personalized
MYKNIPLE,,,N,NY,Personalized
59S,,,N,NY,Personalized
SBMF,,,N,NY,Personalized
DUPA ,,,N,NY,Personalized
FRUCK ,,,N,NY,Personalized
AUT0B0T,,,N,NY,Personalized
0R1GNL,,,N,NY,Personalized
111JNY,,,N,NY,Personalized
ST2GOTZZ,,,N,NY,Personalized
P0L1CF ,,,N,NY,Personalized
FFH00,,,N,NY,Personalized
FONE,,,N,NY,Personalized
TRAMAN0N,,,N,NY,Personalized
IROFLMAO,,,N,NY,Personalized
SUPSEX ,,,N,NY,Personalized
B0OBS ,,,N,NY,Personalized
BIT3ME,,,N,NY,Personalized
IOIXIOI,,,N,NY,Personalized
NYP3236 ,,,N,NY,Personalized
CHAINDUP,,,Y,NY,Personalized
STMC2,,,Y,NY,Personalized
NVRBORIN,,,Y,NY,Personalized
KDMTURBO,,,Y,NY,Personalized
OMYBAGEL,,,Y,NY,Personalized
SEAN21,,,Y,NY,Personalized
NJG15,,,Y,NY,Personalized
2ZBEACH,,,Y,NY,Personalized
OFFROAD,,,Y,NY,Personalized
MPG4USA,,,Y,NY,Personalized
EKOOO,,,Y,NY,Personalized
DYLAN08,,,Y,NY,Personalized
BLS908,,,Y,NY,Personalized
KTLAND,,,Y,NY,Personalized
1CRAPS1,,,Y,NY,Personalized
ARANCIA,,,Y,NY,Personalized
LEP102,,,Y,NY,Personalized
HCT,,,Y,NY,Personalized
ACKGR8FL,,,Y,NY,Personalized
BERNIE51,,,Y,NY,Personalized
2013RSOX,,,Y,NY,Personalized
AW350ME,,,Y,NY,Personalized
EMK3RD,,,Y,NY,Personalized
LOVAPUP,,,Y,NY,Personalized
HLD1,,,Y,NY,Personalized
